"title","rating","poster","totalRatings","releaseDate","genres"
"O Silêncio dos Inocentes (1991)","8,6","https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg","1.290.440","17 May 1991 (Brazil)","[""Crime"",""Drama"",""Thriller""]"
"Garota Exemplar (2014)","8,1","https://m.media-amazon.com/images/M/MV5BMTk0MDQ3MzAzOV5BMl5BanBnXkFtZTgwNzU1NzE3MjE@._V1_UX182_CR0,0,182,268_AL_.jpg","876.248","2 October 2014 (Brazil)","[""Drama"",""Mystery"",""Thriller""]"
